Nbre camions;adresses;duree d'execution (en s);;;nbre camions;adresses;duree d'execution
1;70;706;;;1;5;28
2;70;531;;;1;10;40
3;70;467;;;1;15;66
4;70;475;;;1;20;91
;;;;;1;30;164
;;;;;1;40;252
1;50;404;;;1;50;404
2;50;311;;;1;70;706
3;50;269;;;;;
4;50;253;;;2;5;27
;;;;;2;10;37
;;;;;2;15;51
1;40;252;;;2;20;73
2;40;198;;;2;30;126
3;40;178;;;2;40;198
4;40;170;;;2;50;311
;;;;;2;70;531
;;;;;;;
1;30;164;;;3;5;27
2;30;126;;;3;10;40
3;30;114;;;3;15;47
4;30;112;;;3;20;71
;;;;;3;30;114
;;;;;3;40;178
1;20;91;;;3;50;269
2;20;73;;;3;70;467
3;20;71;;;;;
4;20;64;;;4;5;30
;;;;;4;10;37
;;;;;4;15;48
1;15;66;;;4;20;64
2;15;51;;;4;30;112
3;15;47;;;4;40;170
4;15;48;;;4;50;253
;;;;;4;70;475
;;;;;;;
1;10;40;;;;;
2;10;37;;;;;
3;10;40;;;;;
4;10;37;;;;;
;;;;;;;
;;;;;;;
1;5;28;;;;;
2;5;27;;;;;
3;5;27;;;;;
4;5;30;;;;;
